adv_participation_assumption,rebalance_count,time_series_p05_capacity_krw,time_series_p10_capacity_krw,time_series_median_capacity_krw,time_series_min_capacity_krw
5% ADV 참여율 (보수적 체결),96,12.33억 원,16.52억 원,64.85억 원,2.72억 원
10% ADV 참여율 (중간 체결),96,24.66억 원,33.03억 원,129.70억 원,5.44억 원
