method,simulations,prob_excess_gt_0,prob_ir_gt_0,prob_ir_gt_historical,prob_te_below_20pct,cumulative_return_p05,cumulative_return_median,cumulative_return_mean,cumulative_return_p95,benchmark_cumulative_return_p05,benchmark_cumulative_return_median,benchmark_cumulative_return_mean,benchmark_cumulative_return_p95,excess_cumulative_return_pct_point_p05,excess_cumulative_return_pct_point_median,excess_cumulative_return_pct_point_mean,excess_cumulative_return_pct_point_p95,annualized_return_p05,annualized_return_median,annualized_return_mean,annualized_return_p95,annualized_volatility_p05,annualized_volatility_median,annualized_volatility_mean,annualized_volatility_p95,sharpe_ratio_p05,sharpe_ratio_median,sharpe_ratio_mean,sharpe_ratio_p95,max_drawdown_p05,max_drawdown_median,max_drawdown_mean,max_drawdown_p95,tracking_error_p05,tracking_error_median,tracking_error_mean,tracking_error_p95,information_ratio_p05,information_ratio_median,information_ratio_mean,information_ratio_p95,correlation_p05,correlation_median,correlation_mean,correlation_p95,active_return_mean_annualized_p05,active_return_mean_annualized_median,active_return_mean_annualized_mean,active_return_mean_annualized_p95
historical_path,1,,,,,6.640554930356112,6.640554930356112,6.640554930356112,6.640554930356112,4.958751849439356,4.958751849439356,4.958751849439356,4.958751849439356,1.6818030809167563,1.6818030809167563,1.6818030809167563,1.6818030809167563,2.1962651631615926,2.1962651631615926,2.1962651631615926,2.1962651631615926,0.5578044685872031,0.5578044685872031,0.5578044685872031,0.5578044685872031,3.937338775223964,3.937338775223964,3.937338775223964,3.937338775223964,-0.32915664897741714,-0.32915664897741714,-0.32915664897741714,-0.32915664897741714,0.17895409189598357,0.17895409189598357,0.17895409189598357,0.17895409189598357,0.8432480627763063,0.8432480627763063,0.8432480627763063,0.8432480627763063,0.9474061784676301,0.9474061784676301,0.9474061784676301,0.9474061784676301,0.15090269131718123,0.15090269131718123,0.15090269131718123,0.15090269131718123
block_bootstrap_5d,2000,0.881,0.8885,0.508,0.9795,1.1124055694238704,5.582804205668287,7.561026947838971,21.35919165005072,0.6828667570912063,4.045311877604631,5.479280383014837,14.714609160542498,-0.49805268298239713,1.3058945875575962,2.081746564824134,7.2080958621403655,0.5331583914172399,1.9353732066152765,2.2006414575567086,4.90361099106476,0.505239533182715,0.5502149255952535,0.5506896654871494,0.598331503420685,0.9842726781466691,3.5122850456383925,4.004882844110343,8.827235347203576,-0.5029239901529348,-0.3257744490665151,-0.34084595095598147,-0.21999159714358166,0.16012706421864834,0.17818943939644638,0.1780916859460094,0.19544264326053015,-0.34119240868310785,0.865150882116577,0.8522455478103997,2.0199150632614504,0.9326954857365937,0.946720942493551,0.9462943808684461,0.9585081956542263,-0.059062956644195475,0.1529089520373855,0.15387241583150513,0.3679567919667089
monte_carlo_student_t,2000,0.8615,0.876,0.5155,0.9645,1.1628448732487489,6.4328818764216145,8.888242390009381,23.745431145017772,0.8266978808140364,4.7215957818409695,6.520086715387719,18.202951888109983,-0.6269686431331473,1.495381712224317,2.3681556746216614,8.176153781074627,0.5539715681694084,2.146328824432345,2.462308196904968,5.255800225327407,0.5110128769344764,0.5544060834135065,0.5568418703417649,0.6109614244275849,0.9999025153998482,3.8407587808734025,4.440203474961601,9.599090881259762,-0.5043190041919687,-0.33100807599610854,-0.3400396383171522,-0.21273450592271834,0.16282480575299152,0.17754974257066392,0.17871812052408023,0.196438396143942,-0.3510303139318576,0.8725882270609828,0.8735583941864379,2.1502601621805746,0.9320242145597473,0.947666293617037,0.9468170836769614,0.9594405861291638,-0.06361291632428298,0.1558472950175237,0.1555882226112674,0.38797577164539226
