adv_participation_assumption,rebalance_count,time_series_p05_capacity_krw,time_series_p10_capacity_krw,time_series_median_capacity_krw,time_series_min_capacity_krw
5% ADV 참여율 (보수적 체결),96,1232751040.7280402,1651537674.4454389,6484823489.368277,272147279.36843705
10% ADV 참여율 (중간 체결),96,2465502081.4560804,3303075348.8908777,12969646978.736553,544294558.7368741
