period,start_date,end_date,strategy_return,underlying_index_return,excess_return_pct_point
MTD,2026-05-04,2026-05-06,0.19675987343816392,0.17745480056727758,0.01930507287088634
YTD,2026-01-02,2026-05-06,2.0240834077326952,1.7042633142923131,0.3198200934403821
1M,2026-04-06,2026-05-06,1.0366821637069803,1.0064521653042933,0.03022999840268703
3M,2026-02-06,2026-05-06,1.2240524815966718,1.184731034555094,0.039321447041577695
6M,2025-11-06,2026-05-06,1.5243422752153948,1.4209558799790827,0.1033863952363121
1Y,2025-05-07,2026-05-06,5.388126529470379,5.114782010238609,0.2733445192317703
Since inception,2024-07-10,2026-05-06,6.640554930356112,4.986044722028033,1.6545102083280794
