비용 모델,누적수익률,PDF 대비 초과,Sharpe,TE,IR,총 매매비용,시장충격 슬리피지,평균 슬리피지,평균 ADV 참여율,최대 ADV 참여율
기존 base: 고정 슬리피지 3bp,664.06%,+168.18%p,3.937,17.90%,0.843,-6.14%p,0.00%p,3.00bp,0.00%,0.00%
추가 점검: 20D ADV 참여율 연동 슬리피지,645.39%,+149.52%p,3.856,17.91%,0.763,-8.62%p,-2.47%p,8.57bp,2.12%,4.71%
