factor,observations,mean_ic,median_ic,hit_ratio_ic_positive,mean_top_minus_bottom_return,hit_ratio_top_minus_bottom_positive
rating_point,43,0.049833950833622374,0.08202334269083021,0.5581395348837209,0.004518140488145036,0.5473684210526316
eps_revision_1m,91,0.047964023072036004,0.03333333333333333,0.5384615384615384,0.006724915200222363,0.5494505494505495
target_upside,95,0.044969241285030756,0.07142857142857144,0.5684210526315789,0.0049639871834320105,0.5052631578947369
consensus_score,95,0.04291475628964093,0.04225456891223992,0.5789473684210527,0.004989068842676925,0.6210526315789474
