stock_code,stock_name,average_active_weight,min_active_weight,max_active_weight,average_abs_active_weight
000500,가온전선,-0.005215557365504426,-0.0438,0.1140088503614358,0.014611354952811312
001440,대한전선,-0.06273898292963387,-0.11330000000000001,0.221642203220851,0.07771992527082576
006260,LS,0.025530753272638925,-0.167718601283559,0.35687208035850493,0.11795358147145836
006340,대원전선,0.0019728987169201156,-0.004299999999999899,0.0046934852212269,0.00222296978240376
010120,LS ELECTRIC,-0.10430229142099766,-0.24211108478343582,0.2842044405735423,0.13641771296875124
033100,제룡전기,-0.0155620140235052,-0.0645,0.058872367811717806,0.017924960483876175
060370,LS마린솔루션,0.06926407370540826,-0.013799999999998801,0.4569037070854655,0.0775564737460772
062040,산일전기,0.09482379766783595,-0.0450999999999999,0.3683708870856795,0.1064107078919139
103590,일진전기,0.0860689729499913,-0.04,0.47635892654109213,0.10802940716246154
229640,LS에코에너지,0.07514954508573085,-0.030799999999998103,0.4478148414698543,0.08618781000721265
267260,HD현대일렉트릭,-0.07815314375611353,-0.2123838899408562,0.2535468931796868,0.10764411213510777
298040,효성중공업,-0.05651089830664953,-0.2869091384987745,0.31871310732746677,0.13443959104969624
