date,stock_code,stock_name,weight,pdf_weight,active_weight,close,tick_size,one_tick_spread_bp,half_tick_spread_bp,weighted_half_tick_bp,trading_value
2026-05-06,298040,효성중공업,0.4511525949623539,0.18,0.2711525949623539,4597000,1000,2.1753317380900588,1.0876658690450294,0.49070327927164875,482819178500
2026-05-06,267260,HD현대일렉트릭,0.1419642042459873,0.1274,0.0145642042459872,1389000,1000,7.199424046076314,3.599712023038157,0.511030252865325,369846788000
2026-05-06,010120,LS ELECTRIC,0.1306355391928457,0.2460999999999999,-0.1154644608071542,315500,500,15.847860538827259,7.9239302694136295,1.0351469032713607,532599529000
2026-05-06,001440,대한전선,0.1207845327603091,0.1088,0.0119845327603091,69200,100,14.45086705202312,7.22543352601156,0.872720612429979,2034537230800
2026-05-06,060370,LS마린솔루션,0.05023169082729,0.0113999999999999,0.0388316908272901,50100,100,19.96007984031936,9.98003992015968,0.5013142797134731,62295839450
2026-05-06,229640,LS에코에너지,0.0452314380112124,0.0123,0.0329314380112124,92100,100,10.857763300760045,5.428881650380022,0.24555612383937245,41599802600
2026-05-06,006260,LS,0.0100000000000007,0.1297,-0.1196999999999993,531000,1000,18.832391713747644,9.416195856873822,0.0941619585687448,192817050500
2026-05-06,103590,일진전기,0.0100000000000002,0.0463,-0.0362999999999998,142200,100,7.032348804500703,3.5161744022503516,0.035161744022504215,150272912150
2026-05-06,006340,대원전선,0.0100000000000001,0.0143,-0.0042999999999998,18040,10,5.5432372505543235,2.7716186252771617,0.027716186252771897,608770976970
2026-05-06,000500,가온전선,0.01,0.0538,-0.0438,367000,500,13.623978201634877,6.8119891008174385,0.06811989100817438,95015482000
2026-05-06,033100,제룡전기,0.01,0.0138,-0.0037999999999999,88200,100,11.337868480725623,5.668934240362812,0.056689342403628114,127004084300
2026-05-06,062040,산일전기,0.01,0.0550999999999999,-0.0450999999999999,319500,500,15.64945226917058,7.82472613458529,0.0782472613458529,275812408500
