strategy,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,excess_cumulative_return,tracking_error,active_tracking_error_annualized,information_ratio,correlation,active_return_mean_daily,active_return_std_daily,experiment_name,base_experiment,te_target,lookback_days,min_active_scale,benchmark_cumulative_return,excess_cumulative_return_pct_point,average_active_scale,min_active_scale_realized
consensus_multiplier_return_focus_te_overlay_12_10d_floor25,441,5.884493429334857,2.011507812460095,0.5506488488679366,3.652977422172946,-0.3254186046586426,0.9257415798955018,0.11079972353963757,0.11079972353963757,0.7899128401654768,0.9795510164832099,0.00034731001710612997,0.006979726519537864,consensus_multiplier_return_focus_te_overlay_12_10d_floor25,consensus_multiplier_return_focus,0.12,10,0.25,4.958751849439356,0.9257415798955018,0.9087342675606684,0.36940607090556593
consensus_multiplier_return_focus_te_overlay_12_10d_floor50,441,5.866069604443999,2.006899912427854,0.550644995761265,3.644634797149697,-0.3254186046586426,0.9073177550046436,0.11110686614868308,0.11110686614868308,0.7738745955549589,0.9794363477256239,0.0003412015123182185,0.006999074685265624,consensus_multiplier_return_focus_te_overlay_12_10d_floor50,consensus_multiplier_return_focus,0.12,10,0.5,4.958751849439356,0.9073177550046436,0.9127649085047621,0.5
consensus_multiplier_return_focus_te_overlay_12_20d_floor25,441,5.8895755124665605,2.012777939145817,0.5537066328201151,3.6350981184646853,-0.32053696270677023,0.9308236630272049,0.11337731420949933,0.11337731420949933,0.7905468858469193,0.9788137357379482,0.000355674931246061,0.0071420994693991635,consensus_multiplier_return_focus_te_overlay_12_20d_floor25,consensus_multiplier_return_focus,0.12,20,0.25,4.958751849439356,0.9308236630272049,0.9104634064238499,0.5062816730570983
consensus_multiplier_return_focus_te_overlay_12_20d_floor50,441,5.8895755124665605,2.012777939145817,0.5537066328201151,3.6350981184646853,-0.32053696270677023,0.9308236630272049,0.11337731420949933,0.11337731420949933,0.7905468858469193,0.9788137357379482,0.000355674931246061,0.0071420994693991635,consensus_multiplier_return_focus_te_overlay_12_20d_floor50,consensus_multiplier_return_focus,0.12,20,0.5,4.958751849439356,0.9308236630272049,0.9104634064238499,0.5062816730570983
consensus_multiplier_return_focus_te_overlay_10_10d_floor25,441,5.80994099223352,1.9928290699138316,0.5482455328750877,3.6349207616213772,-0.33264648195761026,0.8511891427941647,0.1014292061135658,0.1014292061135658,0.7891558759759592,0.9827453626482323,0.0003176327539686394,0.006389439406076365,consensus_multiplier_return_focus_te_overlay_10_10d_floor25,consensus_multiplier_return_focus,0.1,10,0.25,4.958751849439356,0.8511891427941647,0.8553728954510372,0.307838392421305
consensus_multiplier_return_focus_te_overlay_10_10d_floor50,441,5.777959142079473,1.9847893315390426,0.5483418234760596,3.619620547922144,-0.33264648195761026,0.819207292640117,0.10224465947877925,0.10224465947877925,0.7569297907049689,0.9824708219758869,0.0003071112249998936,0.0064408081396507815,consensus_multiplier_return_focus_te_overlay_10_10d_floor50,consensus_multiplier_return_focus,0.1,10,0.5,4.958751849439356,0.819207292640117,0.8641430274996851,0.5
consensus_multiplier_return_focus_te_overlay_10_20d_floor25,441,5.804913405358933,1.9915662866294115,0.5508049944094776,3.6157375238846288,-0.32717044214052904,0.8461615559195774,0.10236920458059931,0.10236920458059931,0.7915094014265351,0.9825774966251543,0.00032153249143690747,0.006448653743613331,consensus_multiplier_return_focus_te_overlay_10_20d_floor25,consensus_multiplier_return_focus,0.1,20,0.25,4.958751849439356,0.8461615559195774,0.8491373282873684,0.42190139421424855
consensus_multiplier_return_focus_te_overlay_08_20d_floor25,441,5.757570388834378,1.9796554290880088,0.5479707436657322,3.6127027801608675,-0.3378554932931175,0.7988185393950227,0.08937728221362233,0.08937728221362233,0.8454499548907708,0.986608763256003,0.0002998572191101853,0.005630239561811457,consensus_multiplier_return_focus_te_overlay_08_20d_floor25,consensus_multiplier_return_focus,0.08,20,0.25,4.958751849439356,0.7988185393950227,0.7596714223312241,0.33752111537139884
consensus_multiplier_return_focus_te_overlay_10_20d_floor50,441,5.777143170701338,1.9845839966169598,0.5507786939311667,3.6032330561882304,-0.32717044214052904,0.8183913212619824,0.10275056734959169,0.10275056734959169,0.7655970189163135,0.9824445306131447,0.00031216479386828293,0.006472677339947922,consensus_multiplier_return_focus_te_overlay_10_20d_floor50,consensus_multiplier_return_focus,0.1,20,0.5,4.958751849439356,0.8183913212619824,0.8537504135490271,0.5
consensus_multiplier_return_focus_te_overlay_12_10d_floor75,441,5.795191489037539,1.9891232899139442,0.5521003348255932,3.602829349020957,-0.32481460518708605,0.8364396395981837,0.1151290906524883,0.1151290906524883,0.7018720301802925,0.9780178494446398,0.0003206582880518766,0.007252451012749881,consensus_multiplier_return_focus_te_overlay_12_10d_floor75,consensus_multiplier_return_focus,0.12,10,0.75,4.958751849439356,0.8364396395981837,0.9371344818919697,0.75
consensus_multiplier_return_focus_te_overlay_08_10d_floor25,441,5.703613731975947,1.9660369777286384,0.5459859222518072,3.6008931688570307,-0.3424634448752001,0.7448618825365916,0.08944071368789885,0.08944071368789885,0.7812528273311113,0.9865005649799391,0.0002772849620919977,0.005634235369102644,consensus_multiplier_return_focus_te_overlay_08_10d_floor25,consensus_multiplier_return_focus,0.08,10,0.25,4.958751849439356,0.7448618825365916,0.7770070331589122,0.25
consensus_multiplier_return_focus_te_overlay_12_20d_floor75,441,5.815674233739179,1.994268605573545,0.5538574472439904,3.6006893389211956,-0.31980613030453964,0.856922384299823,0.11573486298883594,0.11573486298883594,0.7216522162689434,0.9779245842768908,0.00033142984275982525,0.007290611083061748,consensus_multiplier_return_focus_te_overlay_12_20d_floor75,consensus_multiplier_return_focus,0.12,20,0.75,4.958751849439356,0.856922384299823,0.9316277832714817,0.75
consensus_multiplier_return_focus_te_overlay_12_60d_floor25,441,5.816302266857147,1.9944262642420973,0.5547606538706972,3.595111243608411,-0.31696146470741404,0.8575504174177917,0.11969845132353357,0.11969845132353357,0.7023686030533852,0.976445964921218,0.00033362077001493617,0.007540293679086667,consensus_multiplier_return_focus_te_overlay_12_60d_floor25,consensus_multiplier_return_focus,0.12,60,0.25,4.958751849439356,0.8575504174177917,0.9304552877366955,0.6697065211266505
consensus_multiplier_return_focus_te_overlay_12_60d_floor50,441,5.816302266857147,1.9944262642420973,0.5547606538706972,3.595111243608411,-0.31696146470741404,0.8575504174177917,0.11969845132353357,0.11969845132353357,0.7023686030533852,0.976445964921218,0.00033362077001493617,0.007540293679086667,consensus_multiplier_return_focus_te_overlay_12_60d_floor50,consensus_multiplier_return_focus,0.12,60,0.5,4.958751849439356,0.8575504174177917,0.9304552877366955,0.6697065211266505
consensus_multiplier_return_focus_te_overlay_12_40d_floor25,441,5.820529392644229,1.9954872613628725,0.5552196577565132,3.5940500907804247,-0.31694484005634316,0.8617775432048731,0.11825247733663337,0.11825247733663337,0.715792437765318,0.9770596091413526,0.0003358897977165747,0.007449205879762702,consensus_multiplier_return_focus_te_overlay_12_40d_floor25,consensus_multiplier_return_focus,0.12,40,0.25,4.958751849439356,0.8617775432048731,0.9205042886085065,0.6482545254287363
consensus_multiplier_return_focus_te_overlay_12_40d_floor50,441,5.820529392644229,1.9954872613628725,0.5552196577565132,3.5940500907804247,-0.31694484005634316,0.8617775432048731,0.11825247733663337,0.11825247733663337,0.715792437765318,0.9770596091413526,0.0003358897977165747,0.007449205879762702,consensus_multiplier_return_focus_te_overlay_12_40d_floor50,consensus_multiplier_return_focus,0.12,40,0.5,4.958751849439356,0.8617775432048731,0.9205042886085065,0.6482545254287363
consensus_multiplier_balanced_te_overlay_10_10d_floor25,441,5.7035968743081735,1.9660327155931125,0.5470778513794713,3.5936982472160204,-0.33534721303469095,0.7448450248688179,0.07909631144678854,0.07909631144678854,0.891302167483711,0.989493377205781,0.00027975680092257656,0.0049825992788265225,consensus_multiplier_balanced_te_overlay_10_10d_floor25,consensus_multiplier_balanced,0.1,10,0.25,4.958751849439356,0.7448450248688179,0.95930452344653,0.41693711707723113
consensus_multiplier_balanced_te_overlay_10_10d_floor50,441,5.699461490220915,1.9649870248255774,0.5470780740503907,3.591785374027958,-0.33534721303469095,0.7407096407815592,0.0791708097892929,0.0791708097892929,0.8859974373823986,0.9894734666010382,0.0002783537086857255,0.0049872922332873095,consensus_multiplier_balanced_te_overlay_10_10d_floor50,consensus_multiplier_balanced,0.1,10,0.5,4.958751849439356,0.7407096407815592,0.960744717097182,0.5
consensus_multiplier_return_focus_te_overlay_08_20d_floor50,441,5.709844483157523,1.9676119882890961,0.5479632963380354,3.5907733263128767,-0.3378554932931175,0.7510926337181676,0.09071314380687655,0.09071314380687655,0.7880979684959359,0.9862026259193399,0.00028369382678602816,0.00571439093232939,consensus_multiplier_return_focus_te_overlay_08_20d_floor50,consensus_multiplier_return_focus,0.08,20,0.5,4.958751849439356,0.7510926337181676,0.7737810068963118,0.5
consensus_multiplier_return_focus_te_overlay_12_60d_floor75,441,5.799098475277956,1.9901052469022358,0.5547944911726163,3.587103474470231,-0.31696146470741404,0.8403466258386008,0.12004911099743881,0.12004911099743881,0.6883850700195399,0.9763089025022873,0.00032793657015775963,0.007562383162228864,consensus_multiplier_return_focus_te_overlay_12_60d_floor75,consensus_multiplier_return_focus,0.12,60,0.75,4.958751849439356,0.8403466258386008,0.932379935758126,0.75
