execution_assumption,daily_adv_participation,rebalance_count,time_series_p05_capacity_krw,time_series_p10_capacity_krw,time_series_median_capacity_krw,time_series_min_capacity_krw
1일 체결,5%,96,1232751040.7280402,1651537674.4454389,6484823489.368277,272147279.36843705
3일 분할 체결,5%,96,3698253122.1841207,4954613023.336317,19454470468.104828,816441838.1053112
1일 체결,10%,96,2465502081.4560804,3303075348.8908777,12969646978.736551,544294558.7368741
3일 분할 체결,10%,96,7396506244.368241,9909226046.672634,38908940936.209656,1632883676.2106223
