participation_rate,rebalance_count,min_capacity_krw,p05_capacity_krw,p10_capacity_krw,median_capacity_krw,mean_capacity_krw
0.01,96,54429455.87368742,246550208.14560804,330307534.8890878,1296964697.8736553,2049358890.757857
0.03,96,163288367.62106225,739650624.436824,990922604.667263,3890894093.620966,6148076672.27357
0.05,96,272147279.36843705,1232751040.7280402,1651537674.4454389,6484823489.368277,10246794453.789284
0.1,96,544294558.7368741,2465502081.4560804,3303075348.8908777,12969646978.736553,20493588907.578568
0.2,96,1088589117.4737482,4931004162.912161,6606150697.781755,25939293957.473106,40987177815.157135
